name,styleUrl,longitude,latitude,ward
HINDU CEMETARY(REAY ROAD),0,72.846964,18.977549,NW-13
JACKERIA BUNDER,0,72.847667,18.99167,NW-13
JAIHIND CINEMA,0,72.836503,18.984382,NW-13
JIJAMATA UDYAN (BYCULLA),0,72.834104,18.979989,NW-13
ROBERT GOMES CHOWK (BYCULLA-E),0,72.836316,18.980677,NW-13
K.E.M.HOSPITAL,0,72.840755,19.001549,NW-8
SHRAWAN YASHWANTE CHOWK (KALA CHOWKY),0,72.841525,18.987583,NW-13
KALA CHOWKY POLICE STATION,0,72.84294,18.987972,NW-13
MINT COLONY,0,72.844322,18.994424,NW-8
LAL BAHADUR SHASTRI COLLEGE,0,72.859279,18.980583,NW-13
SANT JAGNADE CHOWK (LALBAUG),0,72.83627,18.991717,NW-33
MADKEBUWA CHOWK (PAREL),0,72.841038,19.004386,NW-8
MADHAV NAGAR (WADALA-W),0,72.854349,19.011884,NW-8
"MUSTAFA BAZAR, SAVLYA TANDEL CHOWK",0,72.839938,18.976253,NW-13
NAIGAON POLICE COLONY,0,72.847171,19.007489,NW-8
PRABODHANKAR THACKERAY UDYAN BUS STATION (SEWREE),0,72.852249,18.998196,NW-8
"PAREL VILLAGE, ST.GORA KUMBHAR CHOWK",0,72.846008,19.000613,NW-8
REAY ROAD STATION,0,72.844211,18.975976,NW-13
"PARSI DHARMASHALA, OM CHAMBERS",0,72.805496,18.964645,NW-4
PARSI GENERAL HOSPITAL,0,72.80365,18.968574,NW-4
PLAY HOUSE,0,72.822458,18.961759,NW-4
PRARTHANA SAMAJ,0,72.820334,18.958035,NW-4
PREM NAGAR,0,72.794268,18.94972,NW-4
PRIYADARSHINI PARK (NAPEAN SEA ROAD),0,72.799503,18.956853,NW-4
PT.PALUSKAR CHOWK (OPERA HOUSE)- MARWADI VIDYALAYA,0,72.817381,18.957374,NW-4
"RAILWAY HOTEL, CHARNI ROAD JUNCTION",0,72.819932,18.961387,NW-4
SAIDHAM (GRANT ROAD),0,72.816906,18.958087,NW-4
"A.H.ANSARI CHOWK, SALVATION ARMY",0,72.827662,18.973001,NW-13
SHUKLAJI STREET,0,72.824628,18.966223,NW-4
SIMLA HOUSE,0,72.802397,18.95803,NW-4
ST.MARY S HIGH SCHOOL (MAZGAON),0,72.835137,18.969781,NW-13
"TARDEO BUS STATION, RUSI MEHTA CHOWK",0,72.82087,18.963881,NW-4
TWO TANKS,0,72.827699,18.961618,NW-4
VATSALABAI DESAI CHOWK (HAJI ALI),0,72.811809,18.977055,NW-4
VASANTRAO NAIK CHOWK (TARDEO),0,72.81512,18.969965,NW-4
VASANTRAO NAIK CHOWK,0,72.815015,18.97039,NW-4
"GULAL WADI, YADNIK CHOWK",0,72.828188,18.956424,NW-4
ABDUL REHMAN SUFI GRD (ZULA MAIDAN),0,72.826701,18.974356,NW-13
GRANT ROAD STATION (W),0,72.815913,18.964031,NW-4
